"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061640","cytoskeleton-dependent cytokinesis","4/19","130/18842",0.0307692307692308,30.5133603238866,10.7278967738855,7.7384468133172e-06,0.000650029532318645,0.000650029532318645,"NUSAP1/KIF4A/CEP55/KIF20A",4
"GO:0007052","mitotic spindle organization","4/19","134/18842",0.0298507462686567,29.6025137470542,10.5566780198117,8.72568073392968e-06,0.000722633841063472,0.000722633841063472,"PRC1/CCNB1/KIF4A/DLGAP5",4
"GO:0008608","attachment of spindle microtubules to kinetochore","3/19","55/18842",0.0545454545454545,54.0918660287081,12.5275161425927,2.20624992229973e-05,0.00180177076987811,0.00180177076987811,"CCNB1/NEK2/CDK1",3
"GO:0051445","regulation of meiotic cell cycle","3/19","57/18842",0.0526315789473684,52.1939058171745,12.2979988303984,2.45750563956396e-05,0.00197947029597755,0.00197947029597755,"ZWINT/ASPM/CDC20",3
"GO:0055012","ventricular cardiac muscle cell differentiation","2/19","10/18842",0.2,198.336842105263,19.8309858882671,4.31436891930496e-05,0.00338246523273509,0.00338246523273509,"CCNB1/CDK1",2
"GO:1904666","regulation of ubiquitin protein ligase activity","2/19","10/18842",0.2,198.336842105263,19.8309858882671,4.31436891930496e-05,0.00338246523273509,0.00338246523273509,"UBE2C/CDC20",2
"GO:0140694","membraneless organelle assembly","5/19","427/18842",0.0117096018735363,11.6122272895353,7.04723855624968,5.22194192007338e-05,0.00402432269671745,0.00402432269671745,"PRC1/NEK2/KIF4A/DLGAP5/CENPF",5
"GO:0051256","mitotic spindle midzone assembly","2/19","11/18842",0.181818181818182,180.306220095694,18.8990232998276,5.26994638855856e-05,0.00402432269671745,0.00402432269671745,"PRC1/KIF4A",2
"GO:0000022","mitotic spindle elongation","2/19","12/18842",0.166666666666667,165.280701754386,18.0857434715597,6.32013267485196e-05,0.00470409875039614,0.00470409875039614,"PRC1/KIF4A",2
"GO:0051443","positive regulation of ubiquitin-protein transferase activity","2/19","12/18842",0.166666666666667,165.280701754386,18.0857434715597,6.32013267485196e-05,0.00470409875039614,0.00470409875039614,"UBE2C/CDC20",2
"GO:0051231","spindle elongation","2/19","13/18842",0.153846153846154,152.566801619433,17.367867161615,7.46475612509312e-05,0.00541886000191945,0.00541886000191945,"PRC1/KIF4A",2
"GO:0051255","spindle midzone assembly","2/19","13/18842",0.153846153846154,152.566801619433,17.367867161615,7.46475612509312e-05,0.00541886000191945,0.00541886000191945,"PRC1/KIF4A",2
"GO:0000082","G1/S transition of mitotic cell cycle","4/19","235/18842",0.0170212765957447,16.8797312430011,7.78257392037487,7.89020814757458e-05,0.00565785657411445,0.00565785657411445,"CCNB1/CDKN3/CDK1/RRM2",4
